CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,cuisine,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50083922,LA TUNA RESTAURANT,Staten Island,68,VAN RIPER STREET,10302,3476002821,Spanish,10/22/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,10/22/2019,10/24/2023,Cycle Inspection / Initial Inspection,40.62611416,-74.14373786,501,49,24700,5129799,5011400082,SI28,
40394401,BAR SIX,Manhattan,502,6 AVENUE,10011,2126911363,French,02-02-22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,46,,,10/24/2023,Cycle Inspection / Initial Inspection,40.73648114,-73.99745966,102,2,6300,1009611,1005760009,MN23,
50070583,JUICE RIGHT CORP.,Manhattan,100,WEST  143 STREET,10030,9172658512,"Juice, Smoothies, Fruit Salads",04/13/2022,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,65,,,10/24/2023,Cycle Inspection / Initial Inspection,40.8191937,-73.93733349,110,9,23200,1060119,1020110036,MN03,
50063296,MARCO'S,Brooklyn,1071,BROADWAY,11221,2159324545,American,03-10-23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,29,N,,10/24/2023,Cycle Inspection / Initial Inspection,40.69461918,-73.93104287,304,34,39300,3073446,3032290050,BK78,
40933911,MILA CAFE,Manhattan,694,COLUMBUS AVENUE,10025,2126624392,American,06/15/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,06/15/2022,10/24/2023,Cycle Inspection / Re-inspection,40.79138575,-73.96860585,107,7,17700,1084572,1012240029,MN12,
50129949,NEW JOY GARDEN,Brooklyn,482,RIVERDALE AVENUE,11207,7183852288,Chinese,06/29/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,B,06/29/2023,10/24/2023,Pre-permit (Operational) / Re-inspection,40.66254116,-73.89814971,305,42,113000,3085400,3038350021,BK85,
50113606,BELLA ROMA PIZZA,Brooklyn,7022,3 AVENUE,11209,9176234300,Pizza,08-08-23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,40,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.63465523,-74.02648142,310,43,6800,3146341,3058860044,BK31,
40798514,CRYSTAL PALACE,Queens,138-31,QUEENS BOULEVARD,11435,7185589295,Jewish/Kosher,12-07-17,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,10,A,12-07-17,10/24/2023,Cycle Inspection / Initial Inspection,40.70820841,-73.81802791,408,24,21400,4206512,4096490025,QN35,
50126161,MAKAVELY PIZZA,Manhattan,51,COLUMBIA STREET,10002,2122289488,Pizza,10-03-22,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,48,,,10/24/2023,Pre-permit (Operational) / Compliance Inspection,40.71667876,-73.98046251,103,2,2201,1082667,1003330001,MN28,
50077156,JOE & THE JUICE,Manhattan,1166,LEXINGTON AVENUE,10028,9179240079,"Juice, Smoothies, Fruit Salads",06/22/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18,,,10/24/2023,Cycle Inspection / Initial Inspection,40.77572916,-73.95834478,108,4,14000,1047509,1015090016,MN40,
41395432,CITI FIELD NATHAN'S FAMOUS STAND 417,Queens,0,126TH & ROOSEVELT AVENUE,,7185958100,Hotdogs,06-07-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,06-07-16,10/24/2023,Cycle Inspection / Initial Inspection,0,0,,,,,4,,
50106347,HUNAN VILLAGE,Manhattan,339,LEXINGTON AVENUE,10016,6466924888,Chinese,09/20/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,B,09/20/2023,10/24/2023,Cycle Inspection / Re-inspection,40.74971691,-73.97728755,106,4,8000,1019475,1008950026,MN20,
50100813,SMASHBURGER #1714,Bronx,1925,TURNBULL AVENUE,10473,3478018360,American,12/27/2022,Violations were cited in the following area(s).,20-Jan,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,Not Critical,,,,10/24/2023,Administrative Miscellaneous / Re-inspection,40.82285296,-73.85786251,209,18,4200,2094835,2036730001,BX09,
41695036,DELICIAS CALENAS 3,Queens,10307,ROOSEVELT AVENUE,11368,7186512342,Spanish,02/15/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9,A,02/15/2023,10/24/2023,Cycle Inspection / Re-inspection,40.74988933,-73.86253748,403,21,40500,4044393,4017700096,QN26,
50104950,TANDOORI KITCHEN,Queens,15412,ROCKAWAY BLVD,11434,3476767746,Indian,08/29/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,26,,,10/24/2023,Pre-permit (Operational) / Compliance Inspection,40.66793262,-73.78100952,412,28,29400,4541582,4121370141,QN02,
50036210,BAKEWELL BAKERY & RESTAURANT,Queens,127-08,LIBERTY AVENUE,11419,7183225600,Caribbean,05/20/2022,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,0,,,10/24/2023,Cycle Inspection / Initial Inspection,40.68874461,-73.81766296,410,28,15802,4204701,4095810004,QN55,
41402050,RED BAR,Queens,161-21,CROCHERON AVENUE,11358,7183530044,Korean,09-09-16,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,8,A,09-09-16,10/24/2023,Cycle Inspection / Initial Inspection,40.76256529,-73.80435266,407,19,117100,4119428,4052810001,QN51,
50017631,NEW RED LANTERN,Brooklyn,5701,FORT HAMILTON PARKWAY,11219,7189729889,Chinese,11/15/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,80,,,10/24/2023,Cycle Inspection / Compliance Inspection,40.63445512,-74.00349121,312,43,21600,3140281,3056950007,BK88,
50120834,BEN'S PIZZA,Manhattan,123,MACDOUGAL STREET,10012,2126770976,Pizza,06-01-22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13,A,06-01-22,10/24/2023,Pre-permit (Operational) / Re-inspection,40.73038779,-74.00016597,102,2,6500,1008746,1005430021,MN23,
41590819,GOOD FRIENDS,Queens,11000,ROCKAWAY BOULEVARD,11420,7182153308,Asian/Asian Fusion,11-09-17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,11-09-17,10/24/2023,Cycle Inspection / Initial Inspection,40.67766457,-73.82875789,410,32,86400,4457718,4115430002,QN55,
50018577,12 CHAIRS CAFE,Brooklyn,342,WYTHE AVENUE,11249,3472277077,Middle Eastern,02/17/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,37,,,10/24/2023,Cycle Inspection / Initial Inspection,40.71451496,-73.96504938,301,33,55100,3062890,3024030031,BK73,
40723910,MUNCHINETTE,Brooklyn,1738,SHEEPSEAD BAY ROAD,,7183325463,American,09/16/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,09/16/2022,10/24/2023,Cycle Inspection / Initial Inspection,0,0,,,,,3,,
50118245,NEW LUCK GARDEN,Manhattan,1954,AMSTERDAM AVENUE,10032,2122835533,Chinese,01-03-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.83283754,-73.94206175,112,10,24100,1062713,1021150034,MN36,
40705983,MI PUEBLITO COMIDA TIPICA MEXICANA,Bronx,111,EAST  167 STREET,10452,7185884023,Mexican,05-02-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,05-02-23,10/24/2023,Cycle Inspection / Initial Inspection,40.83495077,-73.91899299,204,16,19700,2002850,2024650001,BX63,
41658324,MI CASA RESTAURANT,Queens,11620,JAMAICA AVENUE,11418,7188499636,Latin American,01/20/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,48,,,10/24/2023,Cycle Inspection / Initial Inspection,40.69920376,-73.83309498,409,29,12200,4195822,4093260008,QN54,
50053932,HEALTHY CHOICE GOURMET DELI & PIZZA,Manhattan,341,7 AVENUE,10001,2122799221,Sandwiches,03/15/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,03/15/2023,10/24/2023,Cycle Inspection / Initial Inspection,40.74793484,-73.9928324,105,3,9500,1015135,1008050001,MN17,
50064666,FRYING PAN BROOKLYN,Brooklyn,33,35 STREET,11232,6467081814,Seafood,08-08-23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,08-08-23,10/24/2023,Cycle Inspection / Initial Inspection,40.65701155,-74.00735242,307,38,1800,3336900,3006870001,BK32,
50110033,CASA VIEJA RESTAURANT,Brooklyn,6007,5 AVENUE,11220,9178366332,Spanish,07-12-22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,40,,,10/24/2023,Cycle Inspection / Initial Inspection,40.6393562,-74.01627551,307,38,12200,3143469,3057830007,BK32,
41549763,CHIPOTLE MEXICAN GRILL,Manhattan,1379,6 AVENUE,10019,6469982329,Tex-Mex,03/16/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,03/16/2022,10/24/2023,Cycle Inspection / Initial Inspection,40.76355059,-73.97776293,105,4,13700,1023394,1010080029,MN17,
50067910,TEXAS CHICKEN & BURGERS,Queens,14712,JAMAICA AVE,11435,7182985900,Chicken,03-10-20,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,03-10-20,10/24/2023,Cycle Inspection / Initial Inspection,40.70175194,-73.80748198,412,27,21200,4438709,4099940061,QN61,
50121611,Q102 POOL HALL AND LOUNGE,Queens,10214,JAMAICA AVE,11418,6462879162,,01-01-00,,,,Not Applicable,,,,10/24/2023,,40.69514734,-73.84508497,409,29,2800,4194194,4092880007,QN54,
40903960,BELLEROSE FAMOUS PIZZA,Queens,24822,UNION TURNPIKE,11426,7183472100,Pizza,05/19/2022,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,10/24/2023,Cycle Inspection / Initial Inspection,40.74244012,-73.72170239,413,23,157101,4174405,4085610001,QN43,
41713066,KASHKAVAL GARDEN,Manhattan,852,9 AVENUE,10019,2122451758,Mediterranean,12/29/2022,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,12/29/2022,10/24/2023,Cycle Inspection / Re-inspection,40.76691976,-73.98642243,104,6,13900,1025423,1010460004,MN15,
40878231,MOTI'S,Brooklyn,5007,16 AVENUE,11204,7184389833,Jewish/Kosher,02/22/2023,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,13,A,02/22/2023,10/24/2023,Cycle Inspection / Initial Inspection,40.63035913,-73.98619813,312,44,47400,3129383,3054590007,BK88,
50114358,DUNKIN DONUTS,Manhattan,1006,1 AVENUE,10022,3477017760,American,06-02-23,Violations were cited in the following area(s).,19-Jul,"Failure to maintain a sufficient supply of single-use, non-compostable plastic straws.",Not Critical,,,,10/24/2023,Administrative Miscellaneous / Initial Inspection,40.75714075,-73.96375636,106,5,10601,1040460,1013670001,MN19,
40986189,LIEBMAN'S DELI,Bronx,552,WEST  235 STREET,10463,7185484534,Jewish/Kosher,10/18/2023,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,23,N,,10/24/2023,Cycle Inspection / Initial Inspection,40.88557858,-73.90962202,208,11,29500,2084091,2057860204,BX29,
50101046,SWEETORY,Queens,7128,ROOSEVELT AVE,11372,3479877351,"Coffee,Tea",02/17/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,32,,,10/24/2023,Cycle Inspection / Initial Inspection,40.74654681,-73.89417361,404,25,26500,4311571,4013030011,QN50,
41218452,CARIFESTA RESTAURANT,Queens,12615,LIBERTY AVENUE,11419,7183222210,Caribbean,09/22/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,73,,,10/24/2023,Cycle Inspection / Re-inspection,40.68868453,-73.81785784,410,28,15802,4203949,4095630022,QN55,
50128716,CHINA CITY II,Brooklyn,1732,86 STREET,11214,7182342885,Chinese,11-07-22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,18,N,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.60798441,-74.00387878,311,38,17800,3166545,3063670043,BK27,
41245538,AURORA SOHO,Manhattan,510,BROOME STREET,10013,2123349020,Italian,03-01-22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,03-01-22,10/24/2023,Cycle Inspection / Re-inspection,40.7235121,-74.00333355,102,1,4700,1007339,1004880037,MN24,
50089234,AU CHEVAL DINER,Manhattan,79,WALKER STREET,10013,6143158682,American,05/18/2022,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,7,A,05/18/2022,10/24/2023,Cycle Inspection / Initial Inspection,40.71823944,-74.00171354,101,1,3100,1002324,1001950009,MN24,
41650004,CUISINE BY CLAUDETTE,Queens,143,BEACH  116 STREET,11694,7189455511,French,11/22/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12,A,11/22/2022,10/24/2023,Cycle Inspection / Re-inspection,40.57876762,-73.83661901,414,32,93402,4304794,4162260023,QN10,
50052533,CHOPSTICKS HOUSE,Staten Island,895,HUGUENOT AVENUE,10312,7186054230,Chinese,11-07-19,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,11-07-19,10/24/2023,Cycle Inspection / Initial Inspection,40.53253085,-74.19207907,503,51,17005,5081448,5063320038,SI01,
50066664,GOURMET BAGEL,Manhattan,874,LEXINGTON AVENUE,10065,2125353030,Sandwiches/Salads/Mixed Buffet,07/21/2022,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,33,,,10/24/2023,Cycle Inspection / Initial Inspection,40.76620442,-73.96528929,108,4,12000,1042423,1014000016,MN40,
50093730,BRICKS & HOPS BEER GARDEN,Bronx,65,BRUCKNER BOULEVARD,10454,7184503991,American,02/25/2020,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,4,A,02/25/2020,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.80638572,-73.92639688,201,8,1900,2000565,2022960044,BX39,
50058095,TEXAS CHICKEN & BURGERS,Brooklyn,521,OCEAN AVENUE,11226,7188262493,Chicken,05/25/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,11,A,05/25/2023,10/24/2023,Cycle Inspection / Initial Inspection,40.64986047,-73.9609571,314,40,51002,3117136,3051010001,BK42,
41630124,DUNKIN',Queens,4008,BELL BOULEVARD,11361,7182247013,"Coffee,Tea",09/15/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,09/15/2022,10/24/2023,Cycle Inspection / Initial Inspection,40.76411803,-73.77126284,411,19,112300,4137560,4062370031,QN46,
50111113,KING WAH RESTAURANT,Queens,6417,FRESH POND RD,11385,7184185858,Chinese,12-07-21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,12-07-21,10/24/2023,Pre-permit (Operational) / Re-inspection,40.71015026,-73.89922732,405,30,61301,4087502,4036100003,QN20,
50120654,LEE GOOD TASTE 88,Brooklyn,2686,PITKIN AVENUE,11208,9173229851,Chinese,05/18/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,44,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.67523261,-73.87299538,305,42,119600,3095039,3042310017,BK82,
50106901,LOCANUT,Manhattan,361,WEST   17 STREET,10011,9176842443,Sandwiches/Salads/Mixed Buffet,01-11-22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,23,B,01-11-22,10/24/2023,Pre-permit (Operational) / Re-inspection,40.74236042,-74.00276792,104,3,8300,1013067,1007410001,MN13,
50132762,AKAGI SUSHI,Queens,11609,METROPOLITAN AVE,11418,7185590088,Japanese,05/18/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,35,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.70740073,-73.83573624,409,29,77500,4079425,4033240002,QN60,
41158108,NICK'S GOURMET DELI,Queens,7415,DITMARS BOULEVARD,11370,7182788338,American,04-04-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,04-04-22,10/24/2023,Cycle Inspection / Initial Inspection,40.76837121,-73.89504134,401,22,31700,4021358,4009700033,QN72,
50103001,LINDA PIZZERIA,Bronx,4336,KATONAH AVENUE,10470,7186645263,Pizza,08/16/2021,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,10/24/2023,Cycle Inspection / Initial Inspection,40.89992023,-73.86761585,212,11,45102,2123269,2033870003,BX62,
50005892,KENNEDY FRIED CHICKEN,Bronx,157,DREISER LOOP,10475,7186713636,Chicken,05/18/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,0,,,10/24/2023,Cycle Inspection / Initial Inspection,40.87663372,-73.82985625,210,12,46201,2097469,2051410500,BX13,
41457424,JIMBO'S HAMBURGER PALACE,Bronx,4137,WHITE PLAINS ROAD,10466,7185470003,Hamburgers,07-05-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,B,07-05-23,10/24/2023,Cycle Inspection / Re-inspection,40.89168873,-73.85832963,212,11,42000,2063217,2048330006,BX44,
50067445,LAO CHAO BUNS,Queens,4214B,BOWNE ST,11355,7188881277,Chinese,02/24/2020,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,51,C,02/24/2020,10/24/2023,Cycle Inspection / Re-inspection,40.75684616,-73.82179285,407,20,85700,,4,QN22,
50101991,GREAT WALL,Bronx,594,GRAND CONCOURSE,10451,7189935420,Chinese,09-08-21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,,,10/24/2023,Cycle Inspection / Initial Inspection,40.8197062,-73.92675784,204,17,6100,2002446,2024430040,BX14,
50132859,LA HACIENDA PANADERIA,Brooklyn,5707,5 AVENUE,11220,7185763248,Bakery Products/Desserts,08-01-23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,53,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.64106644,-74.01449952,307,38,10200,3015720,3008480006,BK34,
