restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
Westville Hudson,American,8.34,Weekday,Not given,22,26
Shake Shack,American,33.03,Weekday,Not given,22,32
Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32
RedFarm Broadway,Chinese,12.46,Weekend,4,24,20
Nobu Next Door,Japanese,15.86,Weekend,5,29,23
Osteria Morini,Italian,14.55,Weekend,Not given,34,22
Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23
Shake Shack,American,16.98,Weekend,Not given,22,21
Shake Shack,American,8.0,Weekend,5,27,23
Parm,Italian,13.05,Weekend,Not given,28,27
Sushi Samba,Japanese,29.05,Weekend,5,31,16
Haandi,Indian,5.67,Weekday,4,23,31
The Meatball Shop,Italian,16.93,Weekend,Not given,30,25
Benihana,Japanese,29.29,Weekend,5,20,18
The Kati Roll Company,Indian,16.15,Weekend,5,20,29
RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30
Han Dynasty,Chinese,13.34,Weekend,4,34,27
Shake Shack,American,9.75,Weekend,5,33,25
Cafeteria,American,6.69,Weekday,4,21,32
Shake Shack,American,4.75,Weekday,4,35,28
Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18
The Meatball Shop,Italian,21.2,Weekend,Not given,34,16
Tortaria,Mexican,19.31,Weekend,Not given,27,28
Nobu Next Door,Japanese,16.3,Weekday,3,20,24
Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27
TAO,Japanese,25.27,Weekday,4,24,24
Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15
Shake Shack,American,5.72,Weekday,3,31,24
Chote Nawab,Indian,16.15,Weekend,5,24,30
RedFarm Hudson,Chinese,33.03,Weekend,4,26,22
Mission Cantina,Mexican,16.2,Weekend,5,31,18
Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32
Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22
Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27
Shake Shack,American,24.2,Weekday,4,29,29
Sarabeth's East,American,17.03,Weekend,3,26,30
Cafe Habana,Mexican,6.79,Weekday,Not given,33,25
Rubirosa,Italian,21.83,Weekend,3,30,27
Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33
Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21
Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20
The Meatball Shop,Italian,22.26,Weekend,Not given,28,25
TAO,Japanese,20.47,Weekend,4,26,30
Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25
Joe's Shanghai _Àü£¾÷´,Chinese,15.81,Weekend,5,20,26
Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27
Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27
Shake Shack,American,21.83,Weekend,Not given,23,22
Bareburger,American,16.3,Weekday,Not given,20,28
The Odeon,American,12.9,Weekday,3,31,28
Parm,Italian,29.15,Weekday,5,23,27
Pongsri Thai,Thai,13.05,Weekday,4,31,24
Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16
Shake Shack,American,31.29,Weekday,Not given,26,32
Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33
Yama Japanese Restaurant,Japanese,16.1,Weekend,Not given,33,27
Momoya,Japanese,16.98,Weekday,5,31,32
Osteria Morini,Italian,12.95,Weekend,5,26,28
Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24
Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15
The Meatball Shop,American,12.32,Weekend,Not given,31,19
Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27
Sushi of Gari,Japanese,12.18,Weekday,5,25,24
Parm,Italian,14.99,Weekend,Not given,34,24
The Meatball Shop,Italian,6.74,Weekend,5,26,30
CafÌ© China,Chinese,24.3,Weekend,Not given,20,23
Shake Shack,American,10.38,Weekend,3,24,29
RedFarm Broadway,Chinese,6.79,Weekend,5,33,28
RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28
Otto Enoteca Pizzeria,Italian,14.99,Weekend,Not given,29,21
RedFarm Hudson,Chinese,29.05,Weekend,4,22,28
Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26
The Meatball Shop,Italian,29.2,Weekend,Not given,31,24
Nobu Next Door,Japanese,5.77,Weekday,4,29,24
CafÌ© China,Chinese,32.93,Weekday,3,26,28
Boqueria,Spanish,12.13,Weekend,5,30,20
Bareburger,American,12.08,Weekend,Not given,29,20
Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24
TAO,Japanese,9.56,Weekend,5,21,17
Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26
Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25
The Meatball Shop,Italian,11.16,Weekday,5,22,28
Shake Shack,American,24.25,Weekday,Not given,32,24
Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25
Shake Shack,American,14.07,Weekend,Not given,25,28
Parm,Italian,19.35,Weekend,4,35,19
RedFarm Hudson,Chinese,16.1,Weekend,4,23,29
Shake Shack,American,22.8,Weekend,Not given,30,19
Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19
Five Guys Burgers and Fries,American,33.03,Weekend,Not given,29,25
Shake Shack,American,12.95,Weekend,Not given,27,18
Shake Shack,American,16.49,Weekend,5,32,22
Benihana,Japanese,29.05,Weekend,Not given,25,26
RedFarm Broadway,Chinese,31.33,Weekend,3,33,23
TAO,Japanese,16.01,Weekend,Not given,26,16
Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21
Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33
The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21
Shake Shack,American,16.25,Weekday,3,30,24
The Meatball Shop,Italian,22.36,Weekend,4,28,18
The Kati Roll Company,Indian,16.83,Weekend,4,26,20
Rubirosa,Italian,8.0,Weekday,4,27,29
Blue Ribbon Sushi,Japanese,16.01,Weekend,Not given,29,22
RedFarm Broadway,Chinese,16.01,Weekday,4,23,27
Five Leaves,American,10.24,Weekday,Not given,22,25
Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28
Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24
Barbounia,Mediterranean,13.97,Weekend,5,29,25
Cafe Mogador,Middle Eastern,13.0,Weekend,Not given,21,15
Five Guys Burgers and Fries,American,13.05,Weekend,Not given,34,27
RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16
Parm,Italian,22.8,Weekday,5,33,33
Barbounia,Mediterranean,20.18,Weekend,5,29,19
RedFarm Broadway,Chinese,19.59,Weekend,5,24,19
Dirty Bird to Go,American,19.4,Weekend,4,25,19
The Meatball Shop,Italian,17.03,Weekday,Not given,22,29
Amy Ruth's,Southern,16.11,Weekend,4,30,26
Pepe Giallo,Italian,14.6,Weekday,3,32,24
TAO,Japanese,12.27,Weekday,Not given,26,29
indikitch,Indian,22.26,Weekend,Not given,35,16
The Meatball Shop,Italian,6.79,Weekend,Not given,26,15
Han Dynasty,Chinese,14.12,Weekend,4,35,19
The Meatball Shop,Italian,29.15,Weekend,5,34,20
Prosperity Dumpling,Chinese,12.18,Weekday,Not given,26,24
Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22
Shake Shack,American,13.39,Weekend,Not given,30,22
Blue Ribbon Fried Chicken,American,9.02,Weekend,5,31,15
Sushi of Gari,Japanese,29.15,Weekend,Not given,34,24
Yama 49,Japanese,13.0,Weekday,5,24,32
Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29
Yama Japanese Restaurant,Japanese,14.55,Weekend,5,20,28
Momoya,Japanese,31.43,Weekend,Not given,24,17
Five Guys Burgers and Fries,American,33.03,Weekend,5,29,15
Piccolo Angolo,Italian,15.91,Weekend,4,26,26
Momoya,Japanese,12.18,Weekend,4,27,25
Shake Shack,American,19.35,Weekday,Not given,35,33
RedFarm Broadway,Chinese,19.35,Weekend,Not given,24,28
Hill Country Fried Chicken,Southern,29.35,Weekend,4,26,24
Shake Shack,American,15.28,Weekday,4,30,29
Pepe Rosso To Go,Italian,12.23,Weekday,3,24,24
Shake Shack,American,9.6,Weekday,4,35,28
Han Dynasty,Chinese,12.95,Weekend,Not given,20,25
Shake Shack,American,8.88,Weekend,5,27,23
Shake Shack,American,15.96,Weekend,3,30,21
Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16
Five Guys Burgers and Fries,American,12.23,Weekend,5,22,22
Shake Shack,American,8.05,Weekday,4,25,27
Momoya,Japanese,8.54,Weekday,4,28,29
Nobu Next Door,Japanese,29.15,Weekday,5,28,25
Han Dynasty,Chinese,7.23,Weekend,5,21,18
L'Express,French,19.69,Weekend,3,26,17
Parm,Italian,12.13,Weekend,3,34,22
Bareburger,American,16.49,Weekday,Not given,31,27
Mission Cantina,Mexican,12.08,Weekend,Not given,30,18
5 Napkin Burger,American,9.27,Weekend,Not given,34,30
Han Dynasty,Chinese,24.25,Weekend,5,33,26
Han Dynasty,Chinese,5.67,Weekday,4,21,31
Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24
Han Dynasty,Chinese,33.03,Weekday,Not given,33,31
Han Dynasty,Chinese,8.97,Weekend,4,33,19
Amma,Indian,8.88,Weekday,4,27,24
Blue Ribbon Sushi Izakaya,Japanese,12.13,Weekday,5,30,29
Delicatessen,American,11.64,Weekend,Not given,27,27
Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23
Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30
Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28
Sarabeth's East,American,9.41,Weekend,Not given,25,16
Osteria Morini,Italian,9.07,Weekend,Not given,33,16
Rubirosa,Italian,14.07,Weekend,5,35,16
S'MAC,American,14.46,Weekend,Not given,34,17
Vanessa's Dumplings,Chinese,6.7,Weekend,5,20,17
Blue Ribbon Sushi Izakaya,Japanese,14.07,Weekday,4,24,26
Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19
Cafe Habana,Mexican,13.97,Weekday,3,34,28
Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20
Bhatti Indian Grill,Indian,29.25,Weekend,5,21,15
Cafeteria,American,17.03,Weekend,Not given,34,20
Taro Sushi,Japanese,16.05,Weekday,5,35,32
Yama Japanese Restaurant,Japanese,17.08,Weekend,5,28,15
Blue Ribbon Sushi,Japanese,11.3,Weekday,Not given,24,24
Delicatessen,American,32.98,Weekend,5,34,16
Hill Country Fried Chicken,Southern,29.15,Weekend,5,33,25
The Meatball Shop,Italian,13.0,Weekday,5,23,26
Pepe Rosso To Go,Italian,13.73,Weekend,Not given,21,28
Han Dynasty,Chinese,12.23,Weekend,3,33,27
Bareburger,American,16.25,Weekend,Not given,29,15
Bistango,Italian,24.2,Weekend,Not given,28,21
The Meatball Shop,Italian,14.31,Weekend,Not given,23,17
Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,Not given,28,20
Shake Shack,American,14.12,Weekday,Not given,31,28
Donburi-ya,Japanese,14.7,Weekend,Not given,30,27
Balthazar Boulangerie,French,15.52,Weekend,Not given,21,29
Hatsuhana,Japanese,8.97,Weekend,4,25,26
Vanessa's Dumplings,Chinese,29.2,Weekday,Not given,27,30
RedFarm Broadway,Chinese,11.64,Weekend,3,26,21
Samurai Mama,Japanese,11.64,Weekend,5,21,18
Waverly Diner,American,19.4,Weekend,5,25,23
Tarallucci e Vino Restaurant,Italian,29.1,Weekday,Not given,28,33
Momoya,Japanese,14.02,Weekday,4,24,30
P.J. Clarke's,American,6.11,Weekend,4,27,25
Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26
Blue Ribbon Fried Chicken,American,12.18,Weekend,Not given,31,23
The Meatball Shop,Italian,24.2,Weekend,5,24,24
The Meatball Shop,Italian,12.18,Weekend,Not given,27,17
Amma,Indian,17.03,Weekend,Not given,28,19
The Meatball Shop,Italian,22.26,Weekday,4,30,26
The Meatball Shop,Italian,19.45,Weekday,5,31,32
Lantern Thai Kitchen,Thai,21.93,Weekday,Not given,22,25
Shake Shack,American,15.76,Weekend,5,24,22
ilili Restaurant,Middle Eastern,9.46,Weekday,4,25,25
Yama 49,Japanese,12.61,Weekday,5,23,28
Blue Ribbon Brooklyn,American,22.85,Weekend,3,23,19
P.J. Clarke's,American,12.18,Weekend,3,22,28
RedFarm Broadway,Chinese,12.61,Weekday,Not given,26,27
Otto Enoteca Pizzeria,Italian,12.13,Weekend,5,33,21
RedFarm Hudson,Chinese,12.13,Weekend,Not given,20,22
The Meatball Shop,Italian,8.54,Weekday,5,24,29
Momoya,Japanese,19.35,Weekday,Not given,29,24
The Smile,American,12.18,Weekend,Not given,22,27
Parm,Italian,22.8,Weekend,Not given,35,20
Shake Shack,American,12.13,Weekend,4,32,15
Blue Ribbon Sushi Bar & Grill,Japanese,19.45,Weekday,5,34,27
RedFarm Hudson,Chinese,12.13,Weekend,3,31,25
Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,Not given,24,18
Momoya,Japanese,12.13,Weekend,5,22,21
Bareburger,American,12.56,Weekend,Not given,24,26
TAO,Japanese,24.3,Weekend,Not given,24,22
Balthazar Boulangerie,French,29.15,Weekday,4,31,28
Shake Shack,American,16.06,Weekend,5,30,17
RedFarm Broadway,Chinese,24.3,Weekend,5,27,29
Chipotle Mexican Grill $1.99 Delivery,Mexican,9.6,Weekend,3,23,26
The Meatball Shop,Italian,19.4,Weekend,Not given,28,17
Blue Ribbon Fried Chicken,American,29.1,Weekend,4,21,22
Vanessa's Dumpling House,Chinese,12.18,Weekend,Not given,27,18
RedFarm Broadway,Chinese,21.39,Weekend,5,23,24
Bubby's ,American,24.25,Weekend,Not given,34,28
RedFarm Hudson,Chinese,32.93,Weekend,Not given,33,30
RedFarm Hudson,Chinese,14.07,Weekday,Not given,20,32
Woorijip,Korean,8.25,Weekend,3,26,26
The Smile,American,19.4,Weekday,5,26,27
Shake Shack,American,12.18,Weekend,4,23,28
The Meatball Shop,Italian,14.94,Weekend,5,32,25
RedFarm Broadway,Chinese,14.26,Weekend,Not given,28,24
Dirty Bird To Go (archived),American,8.54,Weekend,Not given,32,30
The Meatball Shop,Italian,12.18,Weekend,Not given,25,28
Rubirosa,Italian,29.1,Weekend,5,30,28
Rubirosa,Italian,12.56,Weekend,4,31,17
Blue Ribbon Sushi,Japanese,9.17,Weekend,3,25,28
Lucky's Famous Burgers,American,16.2,Weekend,5,32,27
Five Guys Burgers and Fries,American,14.12,Weekday,5,23,32
Haveli Indian Restaurant,Indian,5.72,Weekend,3,24,26
Blue Ribbon Fried Chicken,American,21.34,Weekend,Not given,35,23
Shake Shack,American,6.79,Weekend,Not given,20,25
Blue Ribbon Fried Chicken,American,12.18,Weekend,4,22,29
Bareburger,American,12.18,Weekend,Not given,33,18
Dos Caminos,Mexican,6.11,Weekend,5,26,21
Chipotle Mexican Grill $1.99 Delivery,Mexican,14.16,Weekday,Not given,22,24
Shake Shack,American,5.68,Weekend,Not given,31,30
da Umberto,Italian,12.27,Weekday,5,20,30
The Meatball Shop,Italian,20.18,Weekend,4,32,26
Shake Shack,American,14.02,Weekend,5,26,21
Blue Ribbon Sushi Bar & Grill,Japanese,16.2,Weekday,5,27,27
Dirty Bird To Go (archived),American,15.57,Weekend,Not given,30,24
Mission Cantina,Mexican,14.45,Weekend,Not given,27,29
Shake Shack,American,8.15,Weekend,Not given,26,17
The Meatball Shop,American,29.25,Weekend,3,21,19
Parm,Italian,8.78,Weekend,3,23,26
Sushi of Gari,Japanese,15.96,Weekend,5,23,22
Tamarind TriBeCa,Indian,8.59,Weekday,5,32,31
P.J. Clarke's,American,15.62,Weekday,5,27,32
Tortaria,Mexican,13.0,Weekday,5,21,24
RedFarm Hudson,Chinese,12.23,Weekend,4,24,19
Cafe Habana,Mexican,25.22,Weekday,Not given,32,28
Blue Ribbon Sushi Bar & Grill,Japanese,5.87,Weekend,4,31,20
Hill Country Fried Chicken,Southern,24.2,Weekend,4,25,15
Shake Shack,American,19.45,Weekday,4,28,24
Shake Shack,American,12.18,Weekend,Not given,29,22
Lucky's Famous Burgers,American,6.01,Weekend,Not given,33,16
Han Dynasty,Chinese,21.93,Weekend,Not given,24,20
Parm,Italian,5.92,Weekend,3,21,25
Cafe Mogador,Middle Eastern,24.2,Weekend,4,32,22
Blue Ribbon Sushi,Japanese,15.76,Weekend,Not given,30,26
Sushi Samba,Japanese,6.11,Weekend,5,30,27
Vanessa's Dumpling House,Chinese,5.72,Weekend,Not given,20,21
Shake Shack,American,19.4,Weekend,Not given,30,18
Shake Shack,American,8.49,Weekday,Not given,33,32
Shake Shack,American,32.93,Weekend,Not given,32,25
Shake Shack,American,12.23,Weekend,Not given,20,27
Osteria Morini,Italian,9.17,Weekend,Not given,25,22
The Meatball Shop,Italian,11.69,Weekend,Not given,30,21
Pepe Rosso To Go,Italian,24.2,Weekend,3,27,19
Sushi of Gari Tribeca,Japanese,9.85,Weekend,Not given,26,17
Vanessa's Dumplings,Chinese,25.22,Weekday,Not given,32,24
Bubby's ,American,22.75,Weekend,5,32,16
Blue Ribbon Sushi,Japanese,6.84,Weekend,4,20,30
Blue Ribbon Sushi,Japanese,24.3,Weekend,4,35,18
Momoya,Japanese,19.35,Weekend,4,27,28
Shake Shack,American,12.13,Weekday,3,22,27
Burger Joint,American,9.02,Weekday,5,24,29
RedFarm Hudson,Chinese,12.18,Weekend,Not given,20,18
ilili Restaurant,Middle Eastern,9.17,Weekend,Not given,26,19
Pylos,Mediterranean,19.4,Weekend,Not given,28,29
Room Service,Thai,6.69,Weekday,Not given,25,32
Blue Ribbon Sushi,Japanese,5.82,Weekend,Not given,34,27
Sarabeth's Restaurant,American,12.08,Weekend,Not given,28,26
Shake Shack,American,15.76,Weekend,5,32,24
Blue Ribbon Fried Chicken,American,33.03,Weekend,5,34,24
Blue Ribbon Sushi,Japanese,24.25,Weekend,4,24,23
Shake Shack,American,12.13,Weekend,Not given,30,19
Sarabeth's East,American,5.72,Weekend,Not given,33,26
Xe May Sandwich Shop,Vietnamese,7.96,Weekend,5,25,29
Hibino,Japanese,14.02,Weekend,4,28,15
The Kati Roll Company,Indian,14.07,Weekend,5,33,17
CafÌ© China,Chinese,21.83,Weekend,4,32,15
Hill Country Fried Chicken,Southern,29.15,Weekend,Not given,20,17
Shake Shack,American,22.26,Weekend,4,32,17
Yama Japanese Restaurant,Japanese,5.82,Weekend,Not given,30,30
Blue Ribbon Fried Chicken,American,29.1,Weekend,Not given,31,27
The Smile,American,13.39,Weekend,Not given,20,16
Nobu Next Door,Japanese,9.7,Weekend,5,30,29
Dos Caminos,Mexican,22.36,Weekend,Not given,30,26
The Meatball Shop,Italian,12.13,Weekday,4,22,32
Bareburger,American,6.07,Weekend,4,23,15
Blue Ribbon Fried Chicken,American,24.3,Weekend,5,22,26
Yama Japanese Restaurant,Japanese,8.78,Weekend,4,22,28
Osteria Morini,Italian,24.25,Weekday,Not given,22,24
RedFarm Broadway,Chinese,20.18,Weekday,Not given,30,26
Cafe Habana,Mexican,4.85,Weekend,5,28,22
RedFarm Broadway,Chinese,6.06,Weekend,3,32,18
Waverly Diner,American,6.84,Weekend,Not given,24,18
Mira Sushi,Japanese,13.05,Weekend,4,33,29
Vanessa's Dumpling House,Chinese,5.92,Weekday,Not given,30,32
Shake Shack,American,12.13,Weekday,5,30,26
Shake Shack,American,12.18,Weekday,5,23,31
Five Guys Burgers and Fries,American,29.15,Weekend,Not given,20,16
Blue Ribbon Fried Chicken,American,8.1,Weekend,Not given,33,22
Shake Shack,American,7.23,Weekend,3,29,18
Boqueria,Spanish,12.66,Weekend,Not given,27,30
The Meatball Shop,Italian,12.23,Weekend,4,31,28
Shake Shack,American,9.07,Weekday,4,21,32
ilili Restaurant,Middle Eastern,6.02,Weekday,Not given,27,29
Five Guys Burgers and Fries,American,14.12,Weekend,4,27,27
Melt Shop,American,21.93,Weekend,5,30,18
Jack's Wife Freda,Mediterranean,16.15,Weekend,4,26,22
Shake Shack,American,7.08,Weekend,4,25,23
Momoya,Japanese,32.93,Weekday,3,28,27
Blue Ribbon Fried Chicken,American,12.13,Weekend,Not given,20,26
S'MAC,American,15.57,Weekend,5,34,28
The Meatball Shop,Italian,29.15,Weekend,5,23,30
S'MAC,American,15.47,Weekday,5,31,32
S'MAC,American,12.37,Weekend,4,30,28
Tamarind TriBeCa,Indian,16.49,Weekday,Not given,31,28
Blue Ribbon Fried Chicken,American,24.3,Weekday,5,20,27
The Meatball Shop,Italian,14.84,Weekend,Not given,20,28
Yama Japanese Restaurant,Japanese,25.27,Weekend,Not given,30,16
The Meatball Shop,Italian,17.08,Weekday,5,22,26
Blue Ribbon Fried Chicken,American,22.31,Weekday,5,28,27
Dos Caminos,Mexican,12.08,Weekday,5,26,26
RedFarm Broadway,Chinese,12.61,Weekend,4,32,17
Blue Ribbon Sushi Izakaya,Japanese,13.1,Weekday,5,24,28
RedFarm Hudson,Chinese,12.13,Weekend,5,28,29
Shake Shack,American,8.25,Weekend,Not given,30,15
Blue Ribbon Sushi Bar & Grill,Japanese,16.39,Weekend,Not given,31,18
Han Dynasty,Chinese,14.75,Weekend,Not given,30,16
J. G. Melon,American,12.66,Weekend,4,23,20
Mamoun's Falafel,Mediterranean,9.07,Weekend,Not given,20,24
Hummus Place,Middle Eastern,16.15,Weekend,4,30,28
Nobu Next Door,Japanese,29.29,Weekday,4,30,24
Cafeteria,American,20.47,Weekday,3,32,24
Tarallucci e Vino Restaurant,Italian,11.59,Weekend,Not given,21,15
The Kati Roll Company,Indian,24.35,Weekday,Not given,33,29
Sushi of Gari 46,Japanese,16.44,Weekend,4,24,27
P.J. Clarke's,American,5.92,Weekday,3,33,30
The Meatball Shop,Italian,14.12,Weekend,Not given,32,18
S'MAC,American,5.92,Weekday,4,34,30
Blue Ribbon Fried Chicken,American,13.0,Weekend,Not given,29,30
The Meatball Shop,Italian,21.83,Weekend,4,30,20
Otto Enoteca Pizzeria,Italian,16.15,Weekend,Not given,35,22
The Meatball Shop,Italian,12.23,Weekday,Not given,28,33
Chipotle Mexican Grill $1.99 Delivery,Mexican,24.3,Weekday,Not given,21,33
ilili Restaurant,Middle Eastern,29.05,Weekend,Not given,24,29
Shake Shack,American,15.76,Weekend,3,35,29
TAO,Japanese,8.1,Weekend,5,32,16
Blue Ribbon Sushi,Japanese,12.18,Weekend,5,34,29
Cafe Mogador,Middle Eastern,25.17,Weekend,4,23,30
Shake Shack,American,20.23,Weekend,Not given,32,18
Saravanaa Bhavan,Indian,9.12,Weekday,5,28,28
TAO,Japanese,12.18,Weekday,Not given,26,33
Westville Hudson,American,20.23,Weekday,Not given,31,29
Blue Ribbon Sushi Izakaya,Japanese,24.25,Weekend,5,33,21
Blue Ribbon Fried Chicken,American,16.2,Weekend,Not given,32,23
Melt Shop,American,9.12,Weekday,Not given,29,33
Friend of a Farmer,American,9.75,Weekend,Not given,26,30
The Loop,Japanese,31.38,Weekend,4,26,24
Blue Ribbon Fried Chicken,American,24.3,Weekend,5,34,21
The Meatball Shop,Italian,19.35,Weekend,5,21,23
Han Dynasty,Chinese,14.16,Weekend,Not given,30,23
indikitch,Indian,9.26,Weekend,5,33,26
Sushi of Gari,Japanese,32.98,Weekend,4,34,21
Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,5,22,18
Sushi of Gari Tribeca,Japanese,9.55,Weekend,4,35,25
Hangawi,Korean,6.74,Weekend,Not given,21,22
Cafe Habana,Mexican,14.07,Weekend,4,26,21
RedFarm Hudson,Chinese,14.02,Weekend,Not given,29,22
Empanada Mama (closed),Mexican,5.92,Weekday,3,34,25
