id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,,
5561355,Large charming bedroom,640117,Simon,Brooklyn,Williamsburg,40.71193,-73.95605,Private room,110,3,4,03-09-17,0.08,5,0,,
30907262,Spacious One-bedroom Home in Columbia U,215116298,冉阳,Manhattan,Morningside Heights,40.80449,-73.96426,Entire home apartment,80,14,0,,,1,0,,
18812670,Midtown Luxury Living room close to Highline,130982506,Chen,Manhattan,Chelsea,40.75378,-74.00274,Private room,68,14,0,,,1,0,,
29809200,Bargain Warm Spacious Studio in Carroll Gardens!,4180621,Julia,Brooklyn,Carroll Gardens,40.67739,-74.00004,Entire home apartment,74,1,4,25-01-19,0.57,2,0,,
6612737,Furnished Bedroom in Murray Hill,28181993,Anshul,Manhattan,Kips Bay,40.73909,-73.9788,Private room,70,15,0,,,1,0,,
34466803,Sunny spacious room full of good energy,1752807,Nilbia,Brooklyn,Bedford-Stuyvesant,40.69295,-73.94387,Private room,45,1,3,02-07-19,1.58,2,0,,
19387555,Ballet Suite,32691167,Misha,Manhattan,Washington Heights,40.83803,-73.94421,Private room,120,30,0,,,1,0,,
26884455,Beautiful Room with Laundry in Prime Williamsburg,141204841,Ivy And Andrew,Brooklyn,Williamsburg,40.70915,-73.96479,Private room,95,30,35,23-06-19,2.97,2,365,,
35447708,Amazing private room!!!near subway & Central Park2,266726110,Sergii,Manhattan,Harlem,40.80463,-73.95655,Private room,88,30,0,,,7,360,,
32484875,1BEDROOM ON EAST 86th ST~PRIVATE BALCONY/GYM/POOL,200380610,Pranjal,Manhattan,Upper East Side,40.77903,-73.95071,Entire home apartment,210,30,0,,,65,364,,
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home apartment,800,1,25,04-08-16,0.24,1,7,,
7970578,Magical 3-bed/3-bath fabulous views,20233558,Ruth,Brooklyn,Greenpoint,40.73175,-73.95403,Entire home apartment,350,2,5,22-06-19,0.11,1,0,,
329310,Creative Director's Chinatown Loft,1681546,Todd,Manhattan,Chinatown,40.71638,-73.99167,Entire home apartment,250,15,9,14-05-16,0.1,1,190,,
3488283,1BR Apt in the Bay Ridge!,17208512,Aleksandar,Brooklyn,Bay Ridge,40.63195,-74.0214,Entire home apartment,75,3,4,28-04-19,0.08,1,0,,
35121319,Boho escape in Upper Manhattan,35491006,Lisa,Manhattan,Harlem,40.8305,-73.94824,Entire home apartment,135,4,1,07-07-19,1,1,0,,
17317366,Manhattan Midtown Vacation Home away from Home,116870039,Jj,Manhattan,Kips Bay,40.74511,-73.9778,Entire home apartment,200,3,72,21-06-19,2.55,1,249,,
23222680,Private 1-bedroom Apartment in the Lombardy,100829279,Ian,Manhattan,Midtown,40.76163,-73.97113,Entire home apartment,210,1,108,20-06-19,6.4,3,216,,
21183975,"Nice & new room,  washer/dryer, 5 min to train!",43148410,Lo,Brooklyn,East New York,40.66739,-73.88739,Private room,40,1,7,28-08-18,0.33,3,364,,
12762497,Spacious Town House near Park,11811612,Heather,Brooklyn,Flatbush,40.65392,-73.95364,Entire home apartment,62,15,7,06-09-18,0.19,1,0,,
35238264,Gorgeous Two Bedroom Apartment Columbias Campus,59268420,Tomer,Manhattan,Morningside Heights,40.8127,-73.96163,Private room,100,1,1,02-06-19,0.81,1,365,,
35463471,West 15th Street Cozy Chelsea 1bd Serviced Apt,22541573,Ken,Manhattan,West Village,40.74,-74.004,Entire home apartment,209,30,0,,,87,364,,
9647450,Be Comfy Loft Bedroom,47341341,Imad,Brooklyn,Midwood,40.61952,-73.96928,Private room,59,28,2,09-12-15,0.05,1,365,,
24265209,Cozy Apartment,182295691,Doudou,Manhattan,Upper East Side,40.77311,-73.95508,Entire home apartment,150,5,10,09-03-19,0.76,1,25,,
120362,Williamsburg apartment right by the subway,138069,Itamar,Brooklyn,Williamsburg,40.70665,-73.94061,Entire home apartment,190,4,50,02-07-19,0.51,1,331,,
32477130,Sunny Artist's Loft,38786890,Sancar,Brooklyn,Clinton Hill,40.69151,-73.96059,Entire home apartment,120,3,2,03-05-19,0.82,1,113,,
33007610,70' Luxury MotorYacht on the Hudson,7407743,Jack,Manhattan,Battery Park City,40.71162,-74.01693,Entire home apartment,7500,1,0,,,1,364,,
27389647,Master Bed/Bath near Lincoln Center in high-rise,119531605,Nicole,Manhattan,Upper West Side,40.7737,-73.99027,Private room,99,1,7,31-08-18,0.61,1,0,,
6662487,Beautiful & Private Manhattan Room,34874378,Jessica,Manhattan,Harlem,40.82398,-73.94846,Private room,75,1,59,15-09-17,1.19,2,0,,
4148088,Central Harlem Private Studio,11950557,Loni & Russ,Manhattan,Harlem,40.80709,-73.94952,Entire home apartment,135,2,232,23-06-19,4.01,1,192,,
28657242,Charming and spacious duplex in classic brownstone,137817563,Tal & Amarelle,Brooklyn,Bedford-Stuyvesant,40.68161,-73.93811,Entire home apartment,140,28,0,,,4,173,,
22945122,Private Room for short stay in a house.,44695225,Franncis,Queens,Queens Village,40.70843,-73.75018,Private room,38,7,0,,,1,0,,
17481087,Gorgeous and Renovated Chelsea Apartment,24037775,Karen,Manhattan,Chelsea,40.74392,-73.9946,Entire home apartment,250,4,0,,,1,0,,
35531168,NEW Bedroom w/Private Toilet (Great Study Space),7167290,Rasheda,Brooklyn,Midwood,40.62382,-73.94683,Private room,35,30,0,,,1,44,,
7828204,Large Room Close to NYC,30379314,Caitlin,Queens,Sunnyside,40.74447,-73.92547,Private room,50,1,1,09-09-15,0.02,1,0,,
20300137,Modern and Stylish 1 Bedroom in East Village,19635760,Zoe,Manhattan,East Village,40.72526,-73.98128,Entire home apartment,140,3,6,23-06-19,0.35,1,0,,
524111,"Convenient East Village Studio,",62508,Leigh,Manhattan,East Village,40.72915,-73.98019,Entire home apartment,118,3,141,24-06-19,1.66,1,13,,
35744751,LIC Jackson park luxury apartment Queen Plaza,245830692,Ruijia,Queens,Long Island City,40.74776,-73.93869,Private room,65,2,3,29-06-19,3,1,26,,
33492175,The beautiful room with your own bathroom,175370972,Young,Queens,Flushing,40.7577,-73.83519,Private room,65,1,13,22-06-19,4.06,1,36,,
33441771,BEST location in Williamsburg,251932107,Nicola,Brooklyn,Williamsburg,40.71623,-73.9601,Private room,85,2,5,10-06-19,2.38,1,86,,
6502954,NICEQUIET10 MINUTES TO TIME SQUARE.,17344881,El,Manhattan,Harlem,40.80454,-73.95133,Private room,90,2,11,01-07-19,0.22,3,282,,
13231399,Beautiful garden 1 bed 7/8-7/18,4316938,Skye,Manhattan,East Harlem,40.80735,-73.94064,Entire home apartment,175,9,0,,,1,365,,
9710184,1 br Apt in Washington Heights,20709383,Elena,Manhattan,Washington Heights,40.84504,-73.93658,Entire home apartment,85,90,1,08-01-17,0.03,1,0,,
3628553,1 Bedroom  Apartment close to Northwell & JFK,3552711,Louann,Queens,Queens Village,40.7229,-73.7462,Entire home apartment,125,1,30,14-03-19,0.5,2,158,,
29897123,Entire Cozy Apt in Brooklyn - 20 mins to Manhattan,218959287,George,Brooklyn,Crown Heights,40.67355,-73.94567,Entire home apartment,100,2,0,,,1,0,,
17619003,Cozy 2 Bedroom,88326259,Marta,Manhattan,Upper East Side,40.78172,-73.94827,Entire home apartment,225,3,62,20-06-19,2.27,1,234,,
36168735,Cozy Two Bedroom Apartment in the East Village,270613726,Benjamin,Manhattan,East Village,40.72567,-73.98635,Entire home apartment,225,3,0,,,1,231,,
4172947,Your Own 2-Bd ~ Comfortable and Unique ~ Bed-Stuy,21653460,Zoya,Brooklyn,Bedford-Stuyvesant,40.6942,-73.95269,Entire home apartment,95,7,69,07-12-18,1.79,2,0,,
7245876,Beautiful Studio in Bed Stuy,9539044,Nicholas,Brooklyn,Williamsburg,40.71292,-73.94873,Entire home apartment,66,6,3,02-03-17,0.06,1,0,,
34388360,Penthouse with Manhattan Views,191407795,Ariana,Queens,Maspeth,40.72807,-73.89826,Entire home apartment,149,2,0,,,1,327,,
10067924,Cozy & Lux Studio in Nolita,36866768,Lisa,Manhattan,Nolita,40.72238,-73.99631,Entire home apartment,179,7,0,,,1,0,,
2019755,Front Studio in Loft Apartment - Steiner Studios,10383481,Bradley,Brooklyn,Clinton Hill,40.69594,-73.96715,Entire home apartment,100,2,100,03-07-19,1.49,1,280,,
28901045,Master Suite w/Private Bath & Balcony,2065453,Ora & Scout,Brooklyn,Crown Heights,40.67618,-73.95607,Private room,75,2,6,23-04-19,0.69,3,12,,
21346494,LARGE DUPLEX-3BR/3BA Williamsburg Townhouse+GARDEN,154506785,Daniel,Brooklyn,Williamsburg,40.71789,-73.9579,Entire home apartment,345,1,75,09-06-19,3.64,3,243,,
9839906,Beautiful sunny room in Brooklyn,14018666,Laura,Brooklyn,Sheepshead Bay,40.587,-73.95588,Private room,45,1,9,01-10-16,0.22,1,0,,
31582772,1B  share Rm Bed1 Guesthouse in Manhattan,7831209,Bobi,Manhattan,East Harlem,40.80745,-73.93955,Private room,72,1,2,10-03-19,0.45,10,365,,
31925075,Sweet Quiet Spacious Room Brooklyn,239351588,A,Brooklyn,Crown Heights,40.66835,-73.93112,Private room,75,1,12,02-05-19,2.54,1,0,,
21591942,Spacious & Stylish 3BR Condo Steps to the Subway!,102758330,Leslie,Brooklyn,Williamsburg,40.71432,-73.9497,Entire home apartment,358,3,57,23-06-19,2.89,1,182,,
518566,"Gorgeous, charming Upper East private room",1497427,Andrea,Manhattan,Upper East Side,40.77108,-73.95967,Private room,82,3,10,15-05-19,0.13,2,251,,
15732919,Cozy. Clean. And affordable,101643312,Tony,Queens,Queens Village,40.72828,-73.73542,Private room,149,30,0,,,2,90,,
19058675,Experience Upper New York Living,133045826,Mira,Manhattan,Washington Heights,40.84202,-73.94171,Entire home apartment,108,7,4,15-08-17,0.17,1,50,,
1471952,Jupiter Suites- Rm #2- (JFK),7853251,Enyinne,Queens,St. Albans,40.68872,-73.77373,Private room,59,1,14,22-10-16,0.19,5,359,,
21828071,Sunny Brownstone Apartment in Brooklyn,9127501,Elianna,Brooklyn,Crown Heights,40.67737,-73.94986,Private room,70,3,0,,,1,115,,
16274854,"Comfy Home, Convenient Location near Central Park",106407359,Sean,Manhattan,Harlem,40.80255,-73.95434,Private room,75,2,121,12-06-19,3.89,1,3,,
21106002,♕ Downtown Manhattan I Private Bedroom♕,151316042,Edhar,Manhattan,Chinatown,40.71363,-73.9909,Private room,90,1,58,15-06-19,2.68,2,10,,
24326705,Sunny apartment in prime Greenpoint-Steps to train,178244787,Miranda,Brooklyn,Greenpoint,40.72243,-73.95179,Entire home apartment,130,8,2,02-12-18,0.14,2,0,,
10142056,Authentic studio-UES (30 days MIN),23772724,Elem,Manhattan,Upper East Side,40.77349,-73.95225,Entire home apartment,99,30,7,31-12-18,0.18,15,327,,
1713409,Sunny 1BR + Outdoor space [L line],6144668,Eydie,Brooklyn,Bushwick,40.70306,-73.92526,Entire home apartment,110,3,23,23-06-19,0.33,1,67,,
35671998,Spectacular Apartment in the Heart of NYC,261295185,Laila,Queens,Jamaica Estates,40.71213,-73.78778,Entire home apartment,219,2,0,,,1,359,,
34840050,金城发双人房 suit2 queens size bed,255641440,Li,Queens,Flushing,40.75,-73.81489,Private room,43,1,0,,,7,339,,
28606853,Bedroom 7 bed A.,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.69313,-73.95533,Shared room,39,1,13,02-07-19,1.33,34,365,,
14315241,COZY SPOT,87521021,Melissa & Rondie,Brooklyn,East Flatbush,40.65825,-73.92191,Private room,50,2,41,18-03-18,1.15,1,250,,
4295542,Private 1 Bdrm Suite in Historic Brownstone,19174715,Judith,Brooklyn,Brooklyn Heights,40.69276,-73.9963,Private room,240,2,45,22-05-19,0.79,1,348,,
1403129,Penthouse Designer Loft Brooklyn,7573341,Robert,Brooklyn,Sunset Park,40.63947,-74.01888,Entire home apartment,195,2,220,27-06-19,3.1,2,287,,
31675232,Brooklyn Exquisite,206288086,Akram,Brooklyn,Fort Greene,40.6927,-73.97265,Entire home apartment,165,2,13,30-06-19,3.05,2,273,,
14670685,1 br available in a Lovely 2br Apt,751743,Lalla,Brooklyn,Bedford-Stuyvesant,40.68568,-73.95166,Private room,50,3,59,21-09-18,1.71,1,0,,
18158353,Beautiful BedStuy Bedroom,6950091,Shireen,Brooklyn,Bedford-Stuyvesant,40.68544,-73.92457,Private room,60,1,1,23-04-17,0.04,1,0,,
21619569,Modern 3BR/2Bath Home 10 mins From JFK,157275347,Sydney,Queens,Jamaica,40.68054,-73.76712,Entire home apartment,128,1,141,30-06-19,7.24,1,164,,
34399142,Cozy Studio! Easy Access to Train to Manhattan!,259683532,Jacob,Queens,Ridgewood,40.70576,-73.89808,Entire home apartment,99,3,10,02-07-19,5.26,1,152,,
1971239,BRIGHT AND SPACIOUS 3 BEDROOM WITH GARDEN,1225787,Andres & Mapa,Brooklyn,Crown Heights,40.6713,-73.94329,Entire home apartment,125,30,26,25-06-19,0.38,1,264,,
9502150,Modern 1 Bedroom Harlem Apt,49245656,Amal & Alex,Manhattan,Harlem,40.80211,-73.94573,Entire home apartment,165,5,42,02-06-19,0.97,1,281,,
14856799,纽约之家(SunnyHome3),27673980,Amy,Queens,Flushing,40.7459,-73.83298,Private room,50,1,54,15-04-19,1.56,8,78,,
35465766,NYC Beach House with Yard.,6227706,Michael,Queens,Arverne,40.58817,-73.79914,Private room,99,3,1,29-06-19,1,1,95,,
471914,Brooklyn one-bedroom right by Prospect Park!,2147438,Stephen,Brooklyn,Prospect-Lefferts Gardens,40.65955,-73.96066,Private room,110,4,12,26-04-19,0.16,1,330,,
9040931,Queen bedroom & huge private bath,29213,Angela,Brooklyn,Fort Greene,40.68785,-73.97682,Private room,79,7,1,23-10-15,0.02,1,0,,
35507844,Art and Adventure Steps from Central Park,1237426,Corder,Manhattan,Hell's Kitchen,40.7665,-73.98578,Entire home apartment,178,3,2,28-06-19,2,1,22,,
22267906,located 15 minutes away from Time Square,24875845,Devito,Manhattan,Harlem,40.82592,-73.93911,Private room,85,2,15,02-07-19,0.82,1,75,,
34371113,Big studio in Luxury building downtown Manhattan,231727934,Sky,Manhattan,Financial District,40.70708,-74.00992,Entire home apartment,230,5,1,24-05-19,0.65,1,43,,
10130342,Your NYC Home!,51954926,Kc,Brooklyn,Bedford-Stuyvesant,40.69566,-73.95001,Private room,72,2,255,16-06-19,5.95,4,0,,
10403922,Brooklyn Park Slope Queen Bed,33213436,Alec,Brooklyn,Gowanus,40.67991,-73.98368,Private room,149,1,93,18-02-19,2.48,8,365,,
6990524,3BR Gramercy Apt in heart of NYC,36650631,Alissa,Manhattan,Kips Bay,40.73912,-73.9825,Entire home apartment,300,1,0,,,1,0,,
737126,Williamsburg Loft!! Bedford L 1blk!,3847832,Eric,Brooklyn,Williamsburg,40.71714,-73.95447,Shared room,195,2,80,26-05-17,0.98,1,364,,
12558745,BK'S FINEST CLOSE 2 TRANSPORTATION-,50600973,Joyell,Brooklyn,Bushwick,40.69452,-73.92807,Private room,41,1,72,09-06-18,1.88,7,0,,
25492031,UWS Studio - CENTRAL PARK WEST -,3962396,Nadir,Manhattan,Upper West Side,40.78585,-73.97069,Entire home apartment,132,30,1,05-11-18,0.12,1,236,,
500845,Trendy Nest in the East Village,1336370,Bojan+Margaret,Manhattan,East Village,40.72686,-73.9797,Entire home apartment,220,4,162,21-06-19,1.88,1,341,,
34530998,Apartment around the park,260589412,Dorcas,Bronx,Parkchester,40.83588,-73.85819,Entire home apartment,69,5,0,,,1,55,,
18050153,Chelsea Haven--Summer Sublet,10621137,Anne Marie,Manhattan,Chelsea,40.74686,-74.0043,Entire home apartment,134,3,1,12-08-17,0.04,1,0,,
16331969,Cozy in Cobble Hill,15130664,Karen,Brooklyn,Carroll Gardens,40.68577,-73.9928,Entire home apartment,450,2,0,,,1,0,,
16449169,Sunny spacious top floor of brownstone,344583,Daniel And Helene,Brooklyn,Bedford-Stuyvesant,40.68559,-73.95398,Entire home apartment,120,2,105,20-06-19,3.42,1,22,,
31534613,New Oceanside home just 5 houses from beach side B,37136163,Renzo,Manhattan,Midtown,40.75164,-73.98042,Entire home apartment,600,7,0,,,1,281,,
29853753,Modern room in Harlem,16495440,Elisabeth,Manhattan,Harlem,40.80312,-73.95378,Private room,85,2,0,,,1,10,,
17074757,Ready!,22042865,Martha,Queens,Astoria,40.75678,-73.91644,Private room,50,3,1,27-06-19,1,1,341,,
32418651,"Bright, Modern Designer's Pad in East Village",5945833,Daniel,Manhattan,East Village,40.72888,-73.98109,Entire home apartment,240,3,7,29-05-19,1.79,1,99,,
29278439,New York Modern Studio,34075689,Zhen Zhen,Queens,Maspeth,40.72236,-73.90195,Entire home apartment,150,7,15,02-07-19,1.73,3,69,,
10985169,One Bedroom Apartment in Townhouse,825856,Rubi,Brooklyn,Bedford-Stuyvesant,40.68389,-73.92128,Entire home apartment,76,2,2,30-12-16,0.05,1,0,,
31925535,Luxury Duplex with large loft space and Terrace,1746041,Jean-Yves,Brooklyn,Greenpoint,40.72242,-73.95076,Entire home apartment,450,3,5,13-06-19,1.06,1,43,,
6054194,"Bright, Clean 1 Bd 2 Blks to Trains",2568690,Collin,Queens,Astoria,40.75673,-73.9253,Entire home apartment,125,3,3,11-06-15,0.06,1,0,,
34336328,Gorgeous Central Park Penthouse,78312516,Monica,Manhattan,Harlem,40.80036,-73.95598,Entire home apartment,299,4,2,03-07-19,0.91,1,4,,
294263,Loft Suite @ The Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73661,-73.95479,Entire home apartment,199,3,89,01-07-19,1.06,28,62,,
11842300,Luxury Entire APT in Manhattan,29936265,Swan,Manhattan,Financial District,40.70544,-74.01616,Entire home apartment,110,1,2,22-12-16,0.05,1,0,,
20208354,Bed Stuy Hideaway,8773518,Robb,Brooklyn,Bedford-Stuyvesant,40.68564,-73.94508,Private room,60,2,9,03-06-19,0.4,3,72,,
34783461,West Village Garden Studio-,5264588,Trey,Manhattan,West Village,40.73526,-74.0002,Entire home apartment,175,2,7,26-06-19,4.88,1,341,,
31878663,Stylish Bedroom in Upper West Side 107,238321374,Eyal,Manhattan,Upper West Side,40.79852,-73.96091,Private room,60,30,0,,,32,317,,
13642631,Doorman Chelsea One Bedroom- Convenient and Fun!,28115515,Andrew,Manhattan,Chelsea,40.74179,-73.99855,Entire home apartment,150,1,0,,,1,0,,
31166689,LARGE ROOM 15 TO MANHATTAN,67376966,Lucky,Queens,Rego Park,40.73097,-73.85736,Private room,88,1,0,,,3,188,,
17604756,Studio in Brooklyn Heights with Private Entrance,54861276,Madeline,Brooklyn,Brooklyn Heights,40.69257,-73.99707,Entire home apartment,152,2,12,01-01-19,0.5,1,0,,
13451720,One bedroom near Columbia University,44269461,Xier,Manhattan,Upper West Side,40.79936,-73.96105,Private room,50,1,1,10-06-16,0.03,1,0,,
11511592,Super-cute apartment in Harlem!,17752872,Cleo,Manhattan,Harlem,40.83038,-73.94531,Private room,45,1,2,26-04-16,0.05,1,0,,
35714753,The Jamaica Experience,46662635,DuVall,Queens,Jamaica,40.70477,-73.80335,Entire home apartment,44,1,3,03-07-19,3,1,330,,
350168,Artist 2BR in Park Slope w/backyard,1774431,Kate,Brooklyn,Park Slope,40.67725,-73.9821,Entire home apartment,178,30,8,02-01-18,0.1,1,280,,
7788438,Home 4 Medical Professionals-Wykof3,26377263,Stat,Brooklyn,Bushwick,40.70249,-73.91904,Private room,47,30,0,,,43,347,,
19049579,Spacious and Sunny 1+ Bedroom,7980049,Colin,Manhattan,Upper West Side,40.7951,-73.96675,Entire home apartment,165,2,8,24-08-18,0.33,1,0,,
34308485,Delightful 3 Bedroom in Central Midtown Location,94111558,Lia And Patrick,Manhattan,Hell's Kitchen,40.76324,-73.98985,Entire home apartment,449,5,5,27-06-19,3.26,1,222,,
31660529,Calm bed great area.,111542307,Imoy,Brooklyn,Bedford-Stuyvesant,40.68694,-73.92732,Shared room,20,30,0,,,2,342,,
1763209,"10mins to Manhattan, 59th St, 17mins Times Square.",9268156,DeLex,Queens,Astoria,40.76451,-73.92942,Private room,86,2,107,01-11-18,1.58,1,0,,
19553123,Rainbow 2,4176842,Novi,Queens,Rego Park,40.72885,-73.86759,Entire home apartment,49,7,23,04-07-19,0.96,1,22,,
21266810,Cozy One Bedroom in Upper East Side proper,19985344,Thelma,Manhattan,Upper East Side,40.76955,-73.95694,Entire home apartment,155,2,22,02-06-19,1.04,1,7,,
20572472,Unique Fort Greene Getaway with Private Deck,6918423,Emilia And Michael,Brooklyn,Fort Greene,40.68481,-73.9694,Entire home apartment,275,3,62,07-07-19,2.78,1,310,,
2088389,Entire Sun Drenched Apartment in Clinton Hill,234918,Mariya,Brooklyn,Clinton Hill,40.68476,-73.96672,Entire home apartment,100,30,17,30-08-17,0.25,1,0,,
33509538,WALK TO FREE SI FERRY FROM FURNISHED STUDIO APT,160956,Neil,Staten Island,St. George,40.64015,-74.08127,Entire home apartment,99,3,4,28-06-19,2.31,1,326,,
16205219,Double room in spacious Morningside apartment,28365672,Lucy,Manhattan,Morningside Heights,40.80793,-73.95799,Private room,55,6,0,,,1,0,,
908923,Charming East Village Studio,4872812,Toby,Manhattan,East Village,40.72784,-73.98486,Entire home apartment,100,3,2,02-08-17,0.06,1,0,,
12806940,Huge New 1700sf Brownstone Duplex,1672734,Larry,Brooklyn,Bedford-Stuyvesant,40.68285,-73.93862,Entire home apartment,225,2,33,01-07-19,0.85,1,1,,
12292255,New & Bright Garden Apartment,5468528,Christine,Brooklyn,South Slope,40.6679,-73.98703,Entire home apartment,189,4,68,15-06-19,1.73,1,83,,
29342293,Sunny room in Brooklyn,15331078,Nathalie,Brooklyn,Crown Heights,40.67768,-73.94244,Private room,35,5,1,03-01-19,0.16,1,69,,
18397124,WaHi Overlook,127450854,Cesar,Manhattan,Washington Heights,40.84662,-73.93436,Private room,70,1,23,28-04-19,0.87,1,138,,
20103452,Upper East Side Apartment,95734400,Jack,Manhattan,Upper East Side,40.77042,-73.94918,Entire home apartment,122,1,4,28-08-17,0.17,1,0,,
33348368,Brooklyn 1BR Full Apartment Great Location,209553776,Jonah,Brooklyn,Crown Heights,40.67023,-73.9567,Entire home apartment,65,2,6,17-06-19,1.94,1,4,,
9414317,Cozy Private Room in 2 bedroom APT,48811662,Kelly,Brooklyn,Prospect-Lefferts Gardens,40.65837,-73.96115,Private room,75,3,67,09-06-19,1.52,1,296,,
34173579,Quiet and cozy 1 bedroom apartment,78261482,Petr,Manhattan,Hell's Kitchen,40.76085,-73.99222,Entire home apartment,168,3,2,01-07-19,1.13,2,4,,
35510968,Cute & Cozy studio in Prospect Park,54332560,Jacqueline,Brooklyn,Park Slope,40.66993,-73.97709,Entire home apartment,97,11,0,,,1,25,,
8364733,Pleasant Enviornment,44087298,Catherine,Manhattan,Washington Heights,40.84707,-73.93541,Private room,50,1,38,12-06-17,0.84,2,0,,
732700,Centrally located and spacious apt.,3815537,Reshma,Manhattan,Midtown,40.75154,-73.97104,Entire home apartment,106,7,10,06-07-19,10,1,0,,
35097684,"Cute, clean, quiet room in trendy east village",12259864,Alessandra,Manhattan,Stuyvesant Town,40.73232,-73.97784,Private room,68,3,1,16-06-19,1,1,22,,
3164173,Bright Studio in New WB Building,2338762,Masha,Brooklyn,Williamsburg,40.71808,-73.95511,Entire home apartment,150,1,12,28-08-16,0.33,1,0,,
8236539,"Quiet room in Greenpoint, Brooklyn",43434198,Dee,Brooklyn,Greenpoint,40.72784,-73.94937,Private room,90,1,1,21-09-15,0.02,1,0,,
5992438,Room in Historic Fort Greene Apt.,2537749,Anna,Brooklyn,Fort Greene,40.6942,-73.97104,Private room,50,1,2,23-09-16,0.06,1,0,,
34086944,Sonder | Stock Exchange | Original 1BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.70712,-74.01201,Entire home apartment,185,2,2,07-06-19,1.28,327,291,,
